COMMUNE_NL,COMMUNE_FR,COMMUNE_DE,PKANCODE,STREET_NL,STREET_FR,STREET_DE,HUISNR,LAT,LON
Lille,,,2275,Kan. J. Peetersstraat,,,11,51.2679838344,4.87164410404
Lille,,,2275,Zavelstraat,,,8,51.232152088,4.82092663919
Lille,,,2275,Schoolstraat,,,49,51.2693470035,4.86291000933
Lille,,,2275,Vennestraat,,,99,51.2621507742,4.87316639543
Lille,,,2275,Hoeksken,,,9,51.2402301976,4.82481611793
Lille,,,2275,Molenheidedreef,,,8,51.2709075133,4.80016489015
Lille,,,2275,Doolstraat,,,11,51.2639723284,4.86973208819
Lille,,,2275,Hoeksken,,,25,51.2414710884,4.82564551386
Lille,,,2275,Heikant,,,85,51.2285110549,4.82616796207
Lille,,,2275,Schelschotten,,,5A,51.2740081222,4.86748950943
Lille,,,2275,Dorp,,,7A,51.2273533139,4.83531595353
Lille,,,2275,Kardinaal Cardijnlaan,,,14,51.2324582568,4.83797126303
Lille,,,2275,Valvekenstraat,,,100,51.2519072496,4.82865329305
Lille,,,2275,Beek,,,7,51.2350813388,4.82916555756
Lille,,,2275,Pastorijstraat,,,97,51.2684384633,4.7986704864
Lille,,,2275,Houtakkerstraat,,,22,51.2706871975,4.8654352443
Lille,,,2275,Oevelenberg,,,21,51.2562188792,4.81881251138
Lille,,,2275,Kauwenberg,,,6,51.2553118215,4.82493861258
Lille,,,2275,Pastorijstraat,,,98,51.267985802,4.79879597
Lille,,,2275,Heerle,,,38,51.2125508393,4.86718440008
Lille,,,2275,Rechtestraat,,,73,51.2414083885,4.82297854264
Lille,,,2275,Binnenhof,,,1,51.2345130128,4.83618565035
Lille,,,2275,Heggelaan,,,13,51.2239873206,4.83589745809
Lille,,,2275,Broekzijstraat,,,82,51.2433828758,4.80546501184
Lille,,,2275,Hoogland,,,77,51.2344059926,4.83703948612
Lille,,,2275,Rechtestraat,,,8,51.2387552808,4.82434918275
Lille,,,2275,Heymansstraat,,,22,51.2655721853,4.78767835028
Lille,,,2275,Hoeksken,,,44,51.242611695,4.82713842584
Lille,,,2275,Heikant,,,41,51.2297327382,4.83031235742
Lille,,,2275,De Schrans,,,49,51.2352517155,4.8208951864
Lille,,,2275,Visbeekbaan,,,15,51.2674840556,4.79029421083
Lille,,,2275,Boelaart,,,13,51.2697442647,4.80905340917
Lille,,,2275,Achterstenhoek,,,40,51.2521704652,4.81050803481
Lille,,,2275,Molenstraat,,,18,51.269264846,4.86597571375
Lille,,,2275,Baan,,,26,51.2320244121,4.83499038961
Lille,,,2275,Veldstraat,,,41,51.2403994463,4.81543304119
Lille,,,2275,Middelveld,,,34A,51.2719372654,4.87970065273
Lille,,,2275,Wagemansstraat,,,10,51.2611217586,4.78970462693
Lille,,,2275,Groesaard,,,1,51.2228821088,4.86065835731
Lille,,,2275,Moleneind,,,31,51.2324103748,4.82635131403
Lille,,,2275,Stepke,,,14,51.2648907631,4.78132161664
Lille,,,2275,Rooienkapel,,,19,51.2757643527,4.88061427759
Lille,,,2275,Het Ven,,,9,51.2620012091,4.86678659098
Lille,,,2275,Boonhof,,,11,51.260076446,4.78627465601
Lille,,,2275,Veenzijde,,,67,51.2567636838,4.8643172579
Lille,,,2275,Vierde Bosdreef,,,14,51.2740311789,4.80175338903
Lille,,,2275,Molenheidedreef,,,14,51.2713173573,4.79985159133
Lille,,,2275,Veenzijde,,,3,51.2643495456,4.8648376221
Lille,,,2275,Lozijde,,,6,51.2749123429,4.87560738102
Lille,,,2275,Duivenstraat,,,24,51.2501108606,4.81902913512
Lille,,,2275,Heiend,,,91,51.2336986531,4.81798224254
Lille,,,2275,Broekzijstraat,,,6,51.2321925384,4.81158103299
Lille,,,2275,Heggelaan,,,57,51.2215728574,4.83184805763
